"City","State","Age_Group","Disability","variable","Disabled_Count","sex"
"Ludhiana","PUNJAB","0-14","Mental-Retardation","Disab_P_TotDisab",432,"All"
"Ludhiana","PUNJAB","15-59","Mental-Retardation","Disab_P_TotDisab",1433,"All"
"Ludhiana","PUNJAB","60+","Mental-Retardation","Disab_P_TotDisab",127,"All"
"Ludhiana","PUNJAB","Age not stated","Mental-Retardation","Disab_P_TotDisab",1,"All"
"Ludhiana","PUNJAB","Total","Mental-Illness","Disab_P_TotDisab",859,"All"
"Ludhiana","PUNJAB","0-14","Mental-Illness","Disab_P_TotDisab",101,"All"
"Ludhiana","PUNJAB","15-59","Mental-Illness","Disab_P_TotDisab",623,"All"
"Ludhiana","PUNJAB","60+","Mental-Illness","Disab_P_TotDisab",135,"All"
"Ludhiana","PUNJAB","Age not stated","Mental-Illness","Disab_P_TotDisab",0,"All"
"Ludhiana","PUNJAB","Total","Any-Other","Disab_P_TotDisab",9355,"All"
"Ludhiana","PUNJAB","0-14","Any-Other","Disab_P_TotDisab",2133,"All"
"Ludhiana","PUNJAB","15-59","Any-Other","Disab_P_TotDisab",6279,"All"
"Ludhiana","PUNJAB","60+","Any-Other","Disab_P_TotDisab",932,"All"
"Ludhiana","PUNJAB","Age not stated","Any-Other","Disab_P_TotDisab",11,"All"
"Ludhiana","PUNJAB","Total","Multiple-Disability","Disab_P_TotDisab",1559,"All"
"Ludhiana","PUNJAB","0-14","Multiple-Disability","Disab_P_TotDisab",325,"All"
"Ludhiana","PUNJAB","15-59","Multiple-Disability","Disab_P_TotDisab",929,"All"
"Ludhiana","PUNJAB","60+","Multiple-Disability","Disab_P_TotDisab",304,"All"
"Ludhiana","PUNJAB","Age not stated","Multiple-Disability","Disab_P_TotDisab",1,"All"
"Faridabad","HARYANA","Total","Total","Disab_P_TotDisab",33579,"All"
"Faridabad","HARYANA","0-14","Total","Disab_P_TotDisab",7384,"All"
"Faridabad","HARYANA","15-59","Total","Disab_P_TotDisab",21162,"All"
"Faridabad","HARYANA","60+","Total","Disab_P_TotDisab",4985,"All"
"Faridabad","HARYANA","Age not stated","Total","Disab_P_TotDisab",48,"All"
"Faridabad","HARYANA","Total","In-Seeing","Disab_P_TotDisab",5640,"All"
"Faridabad","HARYANA","0-14","In-Seeing","Disab_P_TotDisab",995,"All"
"Faridabad","HARYANA","15-59","In-Seeing","Disab_P_TotDisab",3413,"All"
"Faridabad","HARYANA","60+","In-Seeing","Disab_P_TotDisab",1226,"All"
"Faridabad","HARYANA","Age not stated","In-Seeing","Disab_P_TotDisab",6,"All"
"Faridabad","HARYANA","Total","In-Hearing","Disab_P_TotDisab",10717,"All"
"Faridabad","HARYANA","0-14","In-Hearing","Disab_P_TotDisab",3010,"All"
"Faridabad","HARYANA","15-59","In-Hearing","Disab_P_TotDisab",6578,"All"
"Faridabad","HARYANA","60+","In-Hearing","Disab_P_TotDisab",1102,"All"
"Faridabad","HARYANA","Age not stated","In-Hearing","Disab_P_TotDisab",27,"All"
"Faridabad","HARYANA","Total","In-Speech","Disab_P_TotDisab",1063,"All"
"Faridabad","HARYANA","0-14","In-Speech","Disab_P_TotDisab",264,"All"
"Faridabad","HARYANA","15-59","In-Speech","Disab_P_TotDisab",675,"All"
"Faridabad","HARYANA","60+","In-Speech","Disab_P_TotDisab",122,"All"
"Faridabad","HARYANA","Age not stated","In-Speech","Disab_P_TotDisab",2,"All"
"Faridabad","HARYANA","Total","In-Movement","Disab_P_TotDisab",4670,"All"
"Faridabad","HARYANA","0-14","In-Movement","Disab_P_TotDisab",455,"All"
"Faridabad","HARYANA","15-59","In-Movement","Disab_P_TotDisab",3120,"All"
"Faridabad","HARYANA","60+","In-Movement","Disab_P_TotDisab",1094,"All"
"Faridabad","HARYANA","Age not stated","In-Movement","Disab_P_TotDisab",1,"All"
"Faridabad","HARYANA","Total","Mental-Retardation","Disab_P_TotDisab",1268,"All"
"Faridabad","HARYANA","0-14","Mental-Retardation","Disab_P_TotDisab",316,"All"
"Faridabad","HARYANA","15-59","Mental-Retardation","Disab_P_TotDisab",886,"All"
"Faridabad","HARYANA","60+","Mental-Retardation","Disab_P_TotDisab",65,"All"
"Faridabad","HARYANA","Age not stated","Mental-Retardation","Disab_P_TotDisab",1,"All"
"Faridabad","HARYANA","Total","Mental-Illness","Disab_P_TotDisab",695,"All"
"Faridabad","HARYANA","0-14","Mental-Illness","Disab_P_TotDisab",126,"All"
"Faridabad","HARYANA","15-59","Mental-Illness","Disab_P_TotDisab",502,"All"
"Faridabad","HARYANA","60+","Mental-Illness","Disab_P_TotDisab",67,"All"
"Faridabad","HARYANA","Age not stated","Mental-Illness","Disab_P_TotDisab",0,"All"
"Faridabad","HARYANA","Total","Any-Other","Disab_P_TotDisab",7702,"All"
"Faridabad","HARYANA","0-14","Any-Other","Disab_P_TotDisab",1820,"All"
"Faridabad","HARYANA","15-59","Any-Other","Disab_P_TotDisab",5076,"All"
"Faridabad","HARYANA","60+","Any-Other","Disab_P_TotDisab",796,"All"
"Faridabad","HARYANA","Age not stated","Any-Other","Disab_P_TotDisab",10,"All"
"Faridabad","HARYANA","Total","Multiple-Disability","Disab_P_TotDisab",1824,"All"
"Faridabad","HARYANA","0-14","Multiple-Disability","Disab_P_TotDisab",398,"All"
"Faridabad","HARYANA","15-59","Multiple-Disability","Disab_P_TotDisab",912,"All"
"Faridabad","HARYANA","60+","Multiple-Disability","Disab_P_TotDisab",513,"All"
"Faridabad","HARYANA","Age not stated","Multiple-Disability","Disab_P_TotDisab",1,"All"
"Delhi","DELHI","Total","Total","Disab_P_TotDisab",228427,"All"
"Delhi","DELHI","0-14","Total","Disab_P_TotDisab",39337,"All"
"Delhi","DELHI","15-59","Total","Disab_P_TotDisab",140126,"All"
"Delhi","DELHI","60+","Total","Disab_P_TotDisab",48550,"All"
"Delhi","DELHI","Age not stated","Total","Disab_P_TotDisab",414,"All"
"Delhi","DELHI","Total","In-Seeing","Disab_P_TotDisab",29253,"All"
"Delhi","DELHI","0-14","In-Seeing","Disab_P_TotDisab",4628,"All"
"Delhi","DELHI","15-59","In-Seeing","Disab_P_TotDisab",16487,"All"
"Delhi","DELHI","60+","In-Seeing","Disab_P_TotDisab",8083,"All"
"Delhi","DELHI","Age not stated","In-Seeing","Disab_P_TotDisab",55,"All"
"Delhi","DELHI","Total","In-Hearing","Disab_P_TotDisab",33606,"All"
"Delhi","DELHI","0-14","In-Hearing","Disab_P_TotDisab",6094,"All"
"Delhi","DELHI","15-59","In-Hearing","Disab_P_TotDisab",19927,"All"
"Delhi","DELHI","60+","In-Hearing","Disab_P_TotDisab",7465,"All"
"Delhi","DELHI","Age not stated","In-Hearing","Disab_P_TotDisab",120,"All"
"Delhi","DELHI","Total","In-Speech","Disab_P_TotDisab",14748,"All"
"Delhi","DELHI","0-14","In-Speech","Disab_P_TotDisab",3724,"All"
"Delhi","DELHI","15-59","In-Speech","Disab_P_TotDisab",9667,"All"
"Delhi","DELHI","60+","In-Speech","Disab_P_TotDisab",1329,"All"
"Delhi","DELHI","Age not stated","In-Speech","Disab_P_TotDisab",28,"All"
"Delhi","DELHI","Total","In-Movement","Disab_P_TotDisab",65400,"All"
"Delhi","DELHI","0-14","In-Movement","Disab_P_TotDisab",5504,"All"
"Delhi","DELHI","15-59","In-Movement","Disab_P_TotDisab",40916,"All"
"Delhi","DELHI","60+","In-Movement","Disab_P_TotDisab",18931,"All"
"Delhi","DELHI","Age not stated","In-Movement","Disab_P_TotDisab",49,"All"
"Delhi","DELHI","Total","Mental-Retardation","Disab_P_TotDisab",15975,"All"
"Delhi","DELHI","0-14","Mental-Retardation","Disab_P_TotDisab",3976,"All"
"Delhi","DELHI","15-59","Mental-Retardation","Disab_P_TotDisab",11237,"All"
"Delhi","DELHI","60+","Mental-Retardation","Disab_P_TotDisab",744,"All"
"Delhi","DELHI","Age not stated","Mental-Retardation","Disab_P_TotDisab",18,"All"
"Delhi","DELHI","Total","Mental-Illness","Disab_P_TotDisab",9786,"All"
"Delhi","DELHI","0-14","Mental-Illness","Disab_P_TotDisab",1475,"All"
"Delhi","DELHI","15-59","Mental-Illness","Disab_P_TotDisab",7265,"All"
"Delhi","DELHI","60+","Mental-Illness","Disab_P_TotDisab",1042,"All"
"Delhi","DELHI","Age not stated","Mental-Illness","Disab_P_TotDisab",4,"All"
"Delhi","DELHI","Total","Any-Other","Disab_P_TotDisab",35970,"All"
"Delhi","DELHI","0-14","Any-Other","Disab_P_TotDisab",8394,"All"
"Delhi","DELHI","15-59","Any-Other","Disab_P_TotDisab",23250,"All"
"Delhi","DELHI","60+","Any-Other","Disab_P_TotDisab",4214,"All"
"Delhi","DELHI","Age not stated","Any-Other","Disab_P_TotDisab",112,"All"
"Delhi","DELHI","Total","Multiple-Disability","Disab_P_TotDisab",23689,"All"
"Delhi","DELHI","0-14","Multiple-Disability","Disab_P_TotDisab",5542,"All"
"Delhi","DELHI","15-59","Multiple-Disability","Disab_P_TotDisab",11377,"All"
"Delhi","DELHI","60+","Multiple-Disability","Disab_P_TotDisab",6742,"All"
"Delhi","DELHI","Age not stated","Multiple-Disability","Disab_P_TotDisab",28,"All"
"Jaipur","RAJASTHAN","Total","Total","Disab_P_TotDisab",74541,"All"
"Jaipur","RAJASTHAN","0-14","Total","Disab_P_TotDisab",17459,"All"
"Jaipur","RAJASTHAN","15-59","Total","Disab_P_TotDisab",47256,"All"
"Jaipur","RAJASTHAN","60+","Total","Disab_P_TotDisab",9762,"All"
"Jaipur","RAJASTHAN","Age not stated","Total","Disab_P_TotDisab",64,"All"
"Jaipur","RAJASTHAN","Total","In-Seeing","Disab_P_TotDisab",24242,"All"
"Jaipur","RAJASTHAN","0-14","In-Seeing","Disab_P_TotDisab",6590,"All"
"Jaipur","RAJASTHAN","15-59","In-Seeing","Disab_P_TotDisab",14778,"All"
"Jaipur","RAJASTHAN","60+","In-Seeing","Disab_P_TotDisab",2859,"All"
"Jaipur","RAJASTHAN","Age not stated","In-Seeing","Disab_P_TotDisab",15,"All"
"Jaipur","RAJASTHAN","Total","In-Hearing","Disab_P_TotDisab",15646,"All"
"Jaipur","RAJASTHAN","0-14","In-Hearing","Disab_P_TotDisab",3991,"All"
"Jaipur","RAJASTHAN","15-59","In-Hearing","Disab_P_TotDisab",9758,"All"
"Jaipur","RAJASTHAN","60+","In-Hearing","Disab_P_TotDisab",1883,"All"
"Jaipur","RAJASTHAN","Age not stated","In-Hearing","Disab_P_TotDisab",14,"All"
"Jaipur","RAJASTHAN","Total","In-Speech","Disab_P_TotDisab",6144,"All"
"Jaipur","RAJASTHAN","0-14","In-Speech","Disab_P_TotDisab",1205,"All"
"Jaipur","RAJASTHAN","15-59","In-Speech","Disab_P_TotDisab",4298,"All"
"Jaipur","RAJASTHAN","60+","In-Speech","Disab_P_TotDisab",638,"All"
"Jaipur","RAJASTHAN","Age not stated","In-Speech","Disab_P_TotDisab",3,"All"
"Jaipur","RAJASTHAN","Total","In-Movement","Disab_P_TotDisab",9188,"All"
"Jaipur","RAJASTHAN","0-14","In-Movement","Disab_P_TotDisab",809,"All"
"Jaipur","RAJASTHAN","15-59","In-Movement","Disab_P_TotDisab",6222,"All"
"Jaipur","RAJASTHAN","60+","In-Movement","Disab_P_TotDisab",2151,"All"
"Jaipur","RAJASTHAN","Age not stated","In-Movement","Disab_P_TotDisab",6,"All"
"Jaipur","RAJASTHAN","Total","Mental-Retardation","Disab_P_TotDisab",3768,"All"
"Jaipur","RAJASTHAN","0-14","Mental-Retardation","Disab_P_TotDisab",921,"All"
"Jaipur","RAJASTHAN","15-59","Mental-Retardation","Disab_P_TotDisab",2637,"All"
"Jaipur","RAJASTHAN","60+","Mental-Retardation","Disab_P_TotDisab",207,"All"
"Jaipur","RAJASTHAN","Age not stated","Mental-Retardation","Disab_P_TotDisab",3,"All"
"Jaipur","RAJASTHAN","Total","Mental-Illness","Disab_P_TotDisab",1503,"All"
"Jaipur","RAJASTHAN","0-14","Mental-Illness","Disab_P_TotDisab",243,"All"
"Jaipur","RAJASTHAN","15-59","Mental-Illness","Disab_P_TotDisab",1111,"All"
"Jaipur","RAJASTHAN","60+","Mental-Illness","Disab_P_TotDisab",148,"All"
"Jaipur","RAJASTHAN","Age not stated","Mental-Illness","Disab_P_TotDisab",1,"All"
"Jaipur","RAJASTHAN","Total","Any-Other","Disab_P_TotDisab",10146,"All"
"Jaipur","RAJASTHAN","0-14","Any-Other","Disab_P_TotDisab",2711,"All"
"Jaipur","RAJASTHAN","15-59","Any-Other","Disab_P_TotDisab",6463,"All"
"Jaipur","RAJASTHAN","60+","Any-Other","Disab_P_TotDisab",950,"All"
"Jaipur","RAJASTHAN","Age not stated","Any-Other","Disab_P_TotDisab",22,"All"
"Jaipur","RAJASTHAN","Total","Multiple-Disability","Disab_P_TotDisab",3904,"All"
"Jaipur","RAJASTHAN","0-14","Multiple-Disability","Disab_P_TotDisab",989,"All"
"Jaipur","RAJASTHAN","15-59","Multiple-Disability","Disab_P_TotDisab",1989,"All"
"Jaipur","RAJASTHAN","60+","Multiple-Disability","Disab_P_TotDisab",926,"All"
"Jaipur","RAJASTHAN","Age not stated","Multiple-Disability","Disab_P_TotDisab",0,"All"
"Jodhpur","RAJASTHAN","Total","Total","Disab_P_TotDisab",24898,"All"
"Jodhpur","RAJASTHAN","0-14","Total","Disab_P_TotDisab",5547,"All"
"Jodhpur","RAJASTHAN","15-59","Total","Disab_P_TotDisab",15862,"All"
"Jodhpur","RAJASTHAN","60+","Total","Disab_P_TotDisab",3443,"All"
"Jodhpur","RAJASTHAN","Age not stated","Total","Disab_P_TotDisab",46,"All"
"Jodhpur","RAJASTHAN","Total","In-Seeing","Disab_P_TotDisab",7128,"All"
"Jodhpur","RAJASTHAN","0-14","In-Seeing","Disab_P_TotDisab",1869,"All"
"Jodhpur","RAJASTHAN","15-59","In-Seeing","Disab_P_TotDisab",4386,"All"
"Jodhpur","RAJASTHAN","60+","In-Seeing","Disab_P_TotDisab",856,"All"
"Jodhpur","RAJASTHAN","Age not stated","In-Seeing","Disab_P_TotDisab",17,"All"
"Jodhpur","RAJASTHAN","Total","In-Hearing","Disab_P_TotDisab",4790,"All"
"Jodhpur","RAJASTHAN","0-14","In-Hearing","Disab_P_TotDisab",1160,"All"
"Jodhpur","RAJASTHAN","15-59","In-Hearing","Disab_P_TotDisab",2975,"All"
"Jodhpur","RAJASTHAN","60+","In-Hearing","Disab_P_TotDisab",648,"All"
"Jodhpur","RAJASTHAN","Age not stated","In-Hearing","Disab_P_TotDisab",7,"All"
"Jodhpur","RAJASTHAN","Total","In-Speech","Disab_P_TotDisab",2143,"All"
"Jodhpur","RAJASTHAN","0-14","In-Speech","Disab_P_TotDisab",435,"All"
"Jodhpur","RAJASTHAN","15-59","In-Speech","Disab_P_TotDisab",1492,"All"
"Jodhpur","RAJASTHAN","60+","In-Speech","Disab_P_TotDisab",214,"All"
"Jodhpur","RAJASTHAN","Age not stated","In-Speech","Disab_P_TotDisab",2,"All"
"Jodhpur","RAJASTHAN","Total","In-Movement","Disab_P_TotDisab",3320,"All"
"Jodhpur","RAJASTHAN","0-14","In-Movement","Disab_P_TotDisab",268,"All"
"Jodhpur","RAJASTHAN","15-59","In-Movement","Disab_P_TotDisab",2261,"All"
"Jodhpur","RAJASTHAN","60+","In-Movement","Disab_P_TotDisab",786,"All"
"Jodhpur","RAJASTHAN","Age not stated","In-Movement","Disab_P_TotDisab",5,"All"
"Jodhpur","RAJASTHAN","Total","Mental-Retardation","Disab_P_TotDisab",1504,"All"
"Jodhpur","RAJASTHAN","0-14","Mental-Retardation","Disab_P_TotDisab",347,"All"
"Jodhpur","RAJASTHAN","15-59","Mental-Retardation","Disab_P_TotDisab",1081,"All"
"Jodhpur","RAJASTHAN","60+","Mental-Retardation","Disab_P_TotDisab",76,"All"
"Jodhpur","RAJASTHAN","Age not stated","Mental-Retardation","Disab_P_TotDisab",0,"All"
"Jodhpur","RAJASTHAN","Total","Mental-Illness","Disab_P_TotDisab",619,"All"
"Jodhpur","RAJASTHAN","0-14","Mental-Illness","Disab_P_TotDisab",66,"All"
"Jodhpur","RAJASTHAN","15-59","Mental-Illness","Disab_P_TotDisab",490,"All"
"Jodhpur","RAJASTHAN","60+","Mental-Illness","Disab_P_TotDisab",61,"All"
"Jodhpur","RAJASTHAN","Age not stated","Mental-Illness","Disab_P_TotDisab",2,"All"
"Jodhpur","RAJASTHAN","Total","Any-Other","Disab_P_TotDisab",3813,"All"
"Jodhpur","RAJASTHAN","0-14","Any-Other","Disab_P_TotDisab",1058,"All"
"Jodhpur","RAJASTHAN","15-59","Any-Other","Disab_P_TotDisab",2390,"All"
"Jodhpur","RAJASTHAN","60+","Any-Other","Disab_P_TotDisab",356,"All"
"Jodhpur","RAJASTHAN","Age not stated","Any-Other","Disab_P_TotDisab",9,"All"
"Jodhpur","RAJASTHAN","Total","Multiple-Disability","Disab_P_TotDisab",1581,"All"
"Jodhpur","RAJASTHAN","0-14","Multiple-Disability","Disab_P_TotDisab",344,"All"
"Jodhpur","RAJASTHAN","15-59","Multiple-Disability","Disab_P_TotDisab",787,"All"
