"State","sex","Urban_Rural","Disablity_Type","dis_ill_lit","ill_lit"
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Any Other",0.220472440944882,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","F","Urban","In Speech",0.231884057971014,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","F","Urban","In Hearing",0.259459459459459,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Multiple disability",0.522388059701492,0.225173382757384
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Total disabled population",0.315808045165843,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","In Speech",0.259259259259259,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","In Hearing",0.318965517241379,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","In Seeing",0.285714285714286,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","In Movement",0.277061855670103,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Any Other",0.271604938271605,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Mental Illness",0.373831775700935,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Mental Retardation",0.420560747663551,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Multiple disability",0.477203647416413,0.20846959702899
"ANDAMAN & NICOBAR ISLANDS","M","Total","Total disabled population",0.293188293188293,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","In Speech",0.25,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","In Hearing",0.265060240963855,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","In Seeing",0.265886287625418,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","In Movement",0.25215723873442,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","Any Other",0.255102040816327,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","Mental Illness",0.343558282208589,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","Mental Retardation",0.40625,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Total","Multiple disability",0.489461358313817,0.189746193393832
"ANDAMAN & NICOBAR ISLANDS","M","Urban","Total disabled population",0.230769230769231,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","In Speech",0.23,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","In Hearing",0.14,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","In Seeing",0.149425287356322,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","In Movement",0.179775280898876,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","Any Other",0.22289156626506,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","Mental Illness",0.285714285714286,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","Mental Retardation",0.377358490566038,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","M","Urban","Multiple disability",0.530612244897959,0.158871304711167
"ANDAMAN & NICOBAR ISLANDS","P","Rural","Total disabled population",0.376229508196721,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","Mental Illness",0.420454545454545,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","Mental Retardation",0.465608465608466,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","In Seeing",0.369967355821545,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","Any Other",0.293577981651376,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","In Speech",0.284530386740331,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","In Hearing",0.37410071942446,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","Multiple disability",0.536713286713287,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Rural","In Movement",0.347280334728033,0.249134305947455
"ANDAMAN & NICOBAR ISLANDS","P","Total","Total disabled population",0.345495495495496,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","Mental Illness",0.401098901098901,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","Mental Retardation",0.435374149659864,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","In Seeing",0.346863468634686,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","Any Other",0.268496420047733,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","In Speech",0.267419962335217,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","In Hearing",0.318293683347006,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","Multiple disability",0.534599728629579,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Total","In Movement",0.315128688010044,0.226758561252401
"ANDAMAN & NICOBAR ISLANDS","P","Urban","Total disabled population",0.26123595505618,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","Mental Illness",0.35,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","Mental Retardation",0.380952380952381,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","In Seeing",0.218181818181818,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","Any Other",0.221843003412969,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","In Speech",0.230769230769231,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","In Hearing",0.197402597402597,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","Multiple disability",0.527272727272727,0.18978590544157
"ANDAMAN & NICOBAR ISLANDS","P","Urban","In Movement",0.218592964824121,0.18978590544157
"ANDHRA PRADESH","F","Rural","In Movement",0.64111069928342,0.539254122051701
"ANDHRA PRADESH","F","Rural","Total disabled population",0.697741254915517,0.539254122051701
"ANDHRA PRADESH","F","Rural","Mental Illness",0.749574551642885,0.539254122051701
"ANDHRA PRADESH","F","Rural","Mental Retardation",0.753430851665122,0.539254122051701
"ANDHRA PRADESH","F","Rural","In Seeing",0.782687488813317,0.539254122051701
"ANDHRA PRADESH","F","Rural","Any Other",0.624553350199525,0.539254122051701
"ANDHRA PRADESH","F","Rural","In Speech",0.624838480423827,0.539254122051701
"ANDHRA PRADESH","F","Rural","In Hearing",0.698488022317307,0.539254122051701
"ANDHRA PRADESH","F","Rural","Multiple disability",0.807971555768024,0.539254122051701
"ANDHRA PRADESH","F","Total","In Movement",0.595041400655017,0.470663463177055
"ANDHRA PRADESH","F","Total","Total disabled population",0.608950935951516,0.470663463177055
"ANDHRA PRADESH","F","Total","Mental Illness",0.706693478885378,0.470663463177055
"ANDHRA PRADESH","F","Total","Mental Retardation",0.704772332066723,0.470663463177055
"ANDHRA PRADESH","F","Total","In Seeing",0.665008939705816,0.470663463177055
"ANDHRA PRADESH","F","Total","Any Other",0.528154852970522,0.470663463177055
"ANDHRA PRADESH","F","Total","In Speech",0.529515112513917,0.470663463177055
"ANDHRA PRADESH","F","Total","In Hearing",0.571133563980702,0.470663463177055
"ANDHRA PRADESH","F","Total","Multiple disability",0.763718300905851,0.470663463177055
"ANDHRA PRADESH","F","Urban","In Movement",0.443175107418494,0.333099955278716
"ANDHRA PRADESH","F","Urban","Total disabled population",0.427232517416077,0.333099955278716
"ANDHRA PRADESH","F","Urban","Mental Illness",0.589871611982882,0.333099955278716
"ANDHRA PRADESH","F","Urban","Mental Retardation",0.584382167030262,0.333099955278716
"ANDHRA PRADESH","F","Urban","In Seeing",0.424408764466401,0.333099955278716
"ANDHRA PRADESH","F","Urban","Any Other",0.39026786380481,0.333099955278716
"ANDHRA PRADESH","F","Urban","In Speech",0.365520882540918,0.333099955278716
"ANDHRA PRADESH","F","Urban","In Hearing",0.377752988528272,0.333099955278716
"ANDHRA PRADESH","F","Urban","Multiple disability",0.623700132350161,0.333099955278716
"ANDHRA PRADESH","M","Rural","Total disabled population",0.508319780730783,0.384079185529734
"ANDHRA PRADESH","M","Rural","In Speech",0.49724250223226,0.384079185529734
"ANDHRA PRADESH","M","Rural","In Hearing",0.496606815379674,0.384079185529734
"ANDHRA PRADESH","M","Rural","In Seeing",0.559056045344994,0.384079185529734
"ANDHRA PRADESH","M","Rural","In Movement",0.43219660582773,0.384079185529734
"ANDHRA PRADESH","M","Rural","Any Other",0.460395560431051,0.384079185529734
"ANDHRA PRADESH","M","Rural","Mental Illness",0.565967457361302,0.384079185529734
"ANDHRA PRADESH","M","Rural","Mental Retardation",0.649153531815528,0.384079185529734
"ANDHRA PRADESH","M","Rural","Multiple disability",0.677756214767582,0.384079185529734
"ANDHRA PRADESH","M","Total","Total disabled population",0.438120835405677,0.334358752736019
"ANDHRA PRADESH","M","Total","In Speech",0.411717799480451,0.334358752736019
"ANDHRA PRADESH","M","Total","In Hearing",0.392546613564876,0.334358752736019
"ANDHRA PRADESH","M","Total","In Seeing",0.455951187315151,0.334358752736019
"ANDHRA PRADESH","M","Total","In Movement",0.39392950690203,0.334358752736019
"ANDHRA PRADESH","M","Total","Any Other",0.383212496150939,0.334358752736019
"ANDHRA PRADESH","M","Total","Mental Illness",0.533815015931428,0.334358752736019
"ANDHRA PRADESH","M","Total","Mental Retardation",0.603298611111111,0.334358752736019
"ANDHRA PRADESH","M","Total","Multiple disability",0.631868669091478,0.334358752736019
"ANDHRA PRADESH","M","Urban","Total disabled population",0.299474946364836,0.235459142800096
"ANDHRA PRADESH","M","Urban","In Speech",0.268532360182905,0.235459142800096
"ANDHRA PRADESH","M","Urban","In Hearing",0.250505593347382,0.235459142800096
"ANDHRA PRADESH","M","Urban","In Seeing",0.271218386924354,0.235459142800096
"ANDHRA PRADESH","M","Urban","In Movement",0.271524959350634,0.235459142800096
"ANDHRA PRADESH","M","Urban","Any Other",0.277317899116885,0.235459142800096
"ANDHRA PRADESH","M","Urban","Mental Illness",0.463323782234957,0.235459142800096
"ANDHRA PRADESH","M","Urban","Mental Retardation",0.504706831629909,0.235459142800096
"ANDHRA PRADESH","M","Urban","Multiple disability",0.500848128463191,0.235459142800096
"ANDHRA PRADESH","P","Rural","Total disabled population",0.595969096361374,0.46149488175499
"ANDHRA PRADESH","P","Rural","Mental Illness",0.657695955004742,0.46149488175499
"ANDHRA PRADESH","P","Rural","Mental Retardation",0.699181083572862,0.46149488175499
"ANDHRA PRADESH","P","Rural","In Seeing",0.673740854486417,0.46149488175499
"ANDHRA PRADESH","P","Rural","Any Other",0.539399746442454,0.46149488175499
"ANDHRA PRADESH","P","Rural","In Speech",0.55445867253817,0.46149488175499
"ANDHRA PRADESH","P","Rural","In Hearing",0.599702909057725,0.46149488175499
"ANDHRA PRADESH","P","Rural","Multiple disability",0.738844307390405,0.46149488175499
"ANDHRA PRADESH","P","Rural","In Movement",0.514337413776353,0.46149488175499
"ANDHRA PRADESH","P","Total","Total disabled population",0.516665659287208,0.402266545742421
"ANDHRA PRADESH","P","Total","Mental Illness",0.617456971437837,0.402266545742421
"ANDHRA PRADESH","P","Total","Mental Retardation",0.650906481341592,0.402266545742421
"ANDHRA PRADESH","P","Total","In Seeing",0.560794586883138,0.402266545742421
"ANDHRA PRADESH","P","Total","Any Other",0.452340918796901,0.402266545742421
"ANDHRA PRADESH","P","Total","In Speech",0.464246184118829,0.402266545742421
"ANDHRA PRADESH","P","Total","In Hearing",0.481797350819044,0.402266545742421
"ANDHRA PRADESH","P","Total","Multiple disability",0.692882281872144,0.402266545742421
"ANDHRA PRADESH","P","Total","In Movement",0.472662700813087,0.402266545742421
"ANDHRA PRADESH","P","Urban","Total disabled population",0.357462256815534,0.283970328580933
"ANDHRA PRADESH","P","Urban","Mental Illness",0.51970130282809,0.283970328580933
"ANDHRA PRADESH","P","Urban","Mental Retardation",0.540151797934553,0.283970328580933
"ANDHRA PRADESH","P","Urban","In Seeing",0.34472515492731,0.283970328580933
"ANDHRA PRADESH","P","Urban","Any Other",0.33050311519183,0.283970328580933
"ANDHRA PRADESH","P","Urban","In Speech",0.311371586376189,0.283970328580933
"ANDHRA PRADESH","P","Urban","In Hearing",0.312099586999985,0.283970328580933
"ANDHRA PRADESH","P","Urban","Multiple disability",0.555352836321694,0.283970328580933
"ANDHRA PRADESH","P","Urban","In Movement",0.337785149433239,0.283970328580933
"ARUNACHAL PRADESH","F","Rural","In Movement",0.752466367713004,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","Total disabled population",0.740786474164134,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","Mental Illness",0.805785123966942,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","Mental Retardation",0.68937875751503,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","In Seeing",0.72762312633833,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","Any Other",0.660576247364722,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","In Speech",0.827402135231317,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","In Hearing",0.715607281408535,0.564690485387636
"ARUNACHAL PRADESH","F","Rural","Multiple disability",0.918081918081918,0.564690485387636
"ARUNACHAL PRADESH","F","Total","In Movement",0.716923076923077,0.513093913991177
"ARUNACHAL PRADESH","F","Total","Total disabled population",0.693970694210906,0.513093913991177
"ARUNACHAL PRADESH","F","Total","Mental Illness",0.773519163763066,0.513093913991177
"ARUNACHAL PRADESH","F","Total","Mental Retardation",0.647058823529412,0.513093913991177
"ARUNACHAL PRADESH","F","Total","In Seeing",0.67741935483871,0.513093913991177
"ARUNACHAL PRADESH","F","Total","Any Other",0.602892102335929,0.513093913991177
"ARUNACHAL PRADESH","F","Total","In Speech",0.796352583586626,0.513093913991177
"ARUNACHAL PRADESH","F","Total","In Hearing",0.664880040837162,0.513093913991177
"ARUNACHAL PRADESH","F","Total","Multiple disability",0.904418394950406,0.513093913991177
"ARUNACHAL PRADESH","F","Urban","In Movement",0.502702702702703,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","Total disabled population",0.442631310555839,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","Mental Illness",0.6,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","Mental Retardation",0.484615384615385,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","In Seeing",0.41978021978022,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","Any Other",0.384,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","In Speech",0.614583333333333,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","In Hearing",0.365079365079365,0.333469371370461
"ARUNACHAL PRADESH","F","Urban","Multiple disability",0.777777777777778,0.333469371370461
"ARUNACHAL PRADESH","M","Rural","Total disabled population",0.590577249575552,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","In Speech",0.700135685210312,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","In Hearing",0.56437587657784,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","In Seeing",0.581405312767781,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","In Movement",0.575925925925926,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","Any Other",0.449431099873578,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","Mental Illness",0.625429553264605,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","Mental Retardation",0.580078125,0.433363064114093
"ARUNACHAL PRADESH","M","Rural","Multiple disability",0.833187006145742,0.433363064114093
"ARUNACHAL PRADESH","M","Total","Total disabled population",0.541102141102141,0.383862436826948
"ARUNACHAL PRADESH","M","Total","In Speech",0.669318181818182,0.383862436826948
"ARUNACHAL PRADESH","M","Total","In Hearing",0.515561891185555,0.383862436826948
"ARUNACHAL PRADESH","M","Total","In Seeing",0.526554856743536,0.383862436826948
"ARUNACHAL PRADESH","M","Total","In Movement",0.52609819121447,0.383862436826948
"ARUNACHAL PRADESH","M","Total","Any Other",0.393269230769231,0.383862436826948
"ARUNACHAL PRADESH","M","Total","Mental Illness",0.61046511627907,0.383862436826948
"ARUNACHAL PRADESH","M","Total","Mental Retardation",0.551181102362205,0.383862436826948
"ARUNACHAL PRADESH","M","Total","Multiple disability",0.804615384615385,0.383862436826948
"ARUNACHAL PRADESH","M","Urban","Total disabled population",0.304665314401623,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","In Speech",0.510489510489511,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","In Hearing",0.245341614906832,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","In Seeing",0.284090909090909,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","In Movement",0.26984126984127,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","Any Other",0.214859437751004,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","Mental Illness",0.528301886792453,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","Mental Retardation",0.430894308943089,0.222887296680782
"ARUNACHAL PRADESH","M","Urban","Multiple disability",0.602484472049689,0.222887296680782
"ARUNACHAL PRADESH","P","Rural","Total disabled population",0.661466738389815,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","Mental Illness",0.707317073170732,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","Mental Retardation",0.63402571711177,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","In Seeing",0.654529877918184,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","Any Other",0.549417637271215,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","In Speech",0.755196304849885,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","In Hearing",0.637651821862348,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","Multiple disability",0.872897196261682,0.497446448566054
"ARUNACHAL PRADESH","P","Rural","In Movement",0.647897623400366,0.497446448566054
"ARUNACHAL PRADESH","P","Total","Total disabled population",0.612515897359168,0.446418982935218
"ARUNACHAL PRADESH","P","Total","Mental Illness",0.684627575277338,0.446418982935218
"ARUNACHAL PRADESH","P","Total","Mental Retardation",0.598892405063291,0.446418982935218
"ARUNACHAL PRADESH","P","Total","In Seeing",0.60102618542109,0.446418982935218
"ARUNACHAL PRADESH","P","Total","Any Other",0.49045899948427,0.446418982935218
"ARUNACHAL PRADESH","P","Total","In Speech",0.723667100130039,0.446418982935218
"ARUNACHAL PRADESH","P","Total","In Hearing",0.587547680570936,0.446418982935218
"ARUNACHAL PRADESH","P","Total","Multiple disability",0.850560398505604,0.446418982935218
"ARUNACHAL PRADESH","P","Total","In Movement",0.602782071097372,0.446418982935218
"ARUNACHAL PRADESH","P","Urban","Total disabled population",0.365793041120651,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","Mental Illness",0.561224489795918,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","Mental Retardation",0.458498023715415,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","In Seeing",0.346897253306205,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","Any Other",0.287514318442153,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","In Speech",0.552301255230126,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","In Hearing",0.301403798513625,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","Multiple disability",0.672862453531598,0.274966994255898
"ARUNACHAL PRADESH","P","Urban","In Movement",0.356,0.274966994255898
"ASSAM","F","Rural","In Movement",0.66190737689914,0.468371490195227
"ASSAM","F","Rural","Total disabled population",0.645670474266325,0.468371490195227
"ASSAM","F","Rural","Mental Illness",0.666197579510273,0.468371490195227
"ASSAM","F","Rural","Mental Retardation",0.665757300191977,0.468371490195227
"ASSAM","F","Rural","In Seeing",0.635925134307666,0.468371490195227
"ASSAM","F","Rural","Any Other",0.539302802460697,0.468371490195227
"ASSAM","F","Rural","In Speech",0.702455959881703,0.468371490195227
"ASSAM","F","Rural","In Hearing",0.601884840822894,0.468371490195227
"ASSAM","F","Rural","Multiple disability",0.839715715154066,0.468371490195227
"ASSAM","F","Total","In Movement",0.632392907984988,0.436049849690161
"ASSAM","F","Total","Total disabled population",0.609821268187534,0.436049849690161
"ASSAM","F","Total","Mental Illness",0.640224554552111,0.436049849690161
"ASSAM","F","Total","Mental Retardation",0.637706342311034,0.436049849690161
"ASSAM","F","Total","In Seeing",0.600440495177337,0.436049849690161
"ASSAM","F","Total","Any Other",0.492769200703537,0.436049849690161
"ASSAM","F","Total","In Speech",0.668961656870977,0.436049849690161
"ASSAM","F","Total","In Hearing",0.566783813635907,0.436049849690161
"ASSAM","F","Total","Multiple disability",0.817612948980018,0.436049849690161
"ASSAM","F","Urban","In Movement",0.408015585861397,0.237592185167308
"ASSAM","F","Urban","Total disabled population",0.376387249114522,0.237592185167308
"ASSAM","F","Urban","Mental Illness",0.470588235294118,0.237592185167308
"ASSAM","F","Urban","Mental Retardation",0.465592064476131,0.237592185167308
"ASSAM","F","Urban","In Seeing",0.348637015781923,0.237592185167308
"ASSAM","F","Urban","Any Other",0.277892136681762,0.237592185167308
"ASSAM","F","Urban","In Speech",0.443530938987451,0.237592185167308
"ASSAM","F","Urban","In Hearing",0.324006359300477,0.237592185167308
"ASSAM","F","Urban","Multiple disability",0.634674922600619,0.237592185167308
"ASSAM","M","Rural","Total disabled population",0.465201284045643,0.363535346069801
"ASSAM","M","Rural","In Speech",0.599926097972973,0.363535346069801
"ASSAM","M","Rural","In Hearing",0.416556902002107,0.363535346069801
"ASSAM","M","Rural","In Seeing",0.446317311971518,0.363535346069801
"ASSAM","M","Rural","In Movement",0.410179262218402,0.363535346069801
"ASSAM","M","Rural","Any Other",0.38867039979164,0.363535346069801
"ASSAM","M","Rural","Mental Illness",0.476650202065559,0.363535346069801
"ASSAM","M","Rural","Mental Retardation",0.521766914290279,0.363535346069801
"ASSAM","M","Rural","Multiple disability",0.670811026060794,0.363535346069801
"ASSAM","M","Total","Total disabled population",0.437581832663131,0.33695054463321
"ASSAM","M","Total","In Speech",0.568243088873658,0.33695054463321
"ASSAM","M","Total","In Hearing",0.390405932563439,0.33695054463321
"ASSAM","M","Total","In Seeing",0.416934619506967,0.33695054463321
"ASSAM","M","Total","In Movement",0.388079558305062,0.33695054463321
"ASSAM","M","Total","Any Other",0.355099408919936,0.33695054463321
"ASSAM","M","Total","Mental Illness",0.450447058823529,0.33695054463321
"ASSAM","M","Total","Mental Retardation",0.497712594187298,0.33695054463321
"ASSAM","M","Total","Multiple disability",0.651665166516652,0.33695054463321
"ASSAM","M","Urban","Total disabled population",0.26187684123216,0.176074363822489
"ASSAM","M","Urban","In Speech",0.364161849710983,0.176074363822489
"ASSAM","M","Urban","In Hearing",0.199197431781701,0.176074363822489
"ASSAM","M","Urban","In Seeing",0.209803921568627,0.176074363822489
"ASSAM","M","Urban","In Movement",0.230533525594809,0.176074363822489
"ASSAM","M","Urban","Any Other",0.196555965559656,0.176074363822489
"ASSAM","M","Urban","Mental Illness",0.314502038439138,0.176074363822489
"ASSAM","M","Urban","Mental Retardation",0.369296375266525,0.176074363822489
"ASSAM","M","Urban","Multiple disability",0.505081300813008,0.176074363822489
"ASSAM","P","Rural","Total disabled population",0.549053211282997,0.414876110501445
"ASSAM","P","Rural","Mental Illness",0.560759335581366,0.414876110501445
"ASSAM","P","Rural","Mental Retardation",0.585340827980014,0.414876110501445
"ASSAM","P","Rural","In Seeing",0.539334599144161,0.414876110501445
"ASSAM","P","Rural","Any Other",0.459025040253179,0.414876110501445
"ASSAM","P","Rural","In Speech",0.646153400197113,0.414876110501445
"ASSAM","P","Rural","In Hearing",0.50709096421393,0.414876110501445
"ASSAM","P","Rural","Multiple disability",0.752932617986724,0.414876110501445
"ASSAM","P","Rural","In Movement",0.513011096820507,0.414876110501445
"ASSAM","P","Total","Total disabled population",0.517475758491038,0.385431084495925
"ASSAM","P","Total","Mental Illness",0.53307827195919,0.385431084495925
"ASSAM","P","Total","Mental Retardation",0.558807916887844,0.385431084495925
"ASSAM","P","Total","In Seeing",0.506920909215051,0.385431084495925
"ASSAM","P","Total","Any Other",0.419535564423,0.385431084495925
"ASSAM","P","Total","In Speech",0.613509433962264,0.385431084495925
"ASSAM","P","Total","In Hearing",0.476869763824488,0.385431084495925
"ASSAM","P","Total","Multiple disability",0.731988530813343,0.385431084495925
"ASSAM","P","Total","In Movement",0.487428789453603,0.385431084495925
"ASSAM","P","Urban","Total disabled population",0.314419266963843,0.205977571658972
"ASSAM","P","Urban","Mental Illness",0.375044563279857,0.205977571658972
"ASSAM","P","Urban","Mental Retardation",0.408539666498231,0.205977571658972
"ASSAM","P","Urban","In Seeing",0.277683134582624,0.205977571658972
"ASSAM","P","Urban","Any Other",0.235000324317312,0.205977571658972
"ASSAM","P","Urban","In Speech",0.399086062452399,0.205977571658972
"ASSAM","P","Urban","In Hearing",0.261900958466454,0.205977571658972
"ASSAM","P","Urban","Multiple disability",0.565570809248555,0.205977571658972
"ASSAM","P","Urban","In Movement",0.300295372497539,0.205977571658972
"BIHAR","F","Rural","In Movement",0.645470035891672,0.603088318391701
"BIHAR","F","Rural","Total disabled population",0.65290489845622,0.603088318391701
"BIHAR","F","Rural","Mental Illness",0.76894656213391,0.603088318391701
"BIHAR","F","Rural","Mental Retardation",0.701294357670825,0.603088318391701
"BIHAR","F","Rural","In Seeing",0.654555921723639,0.603088318391701
"BIHAR","F","Rural","Any Other",0.639238396285824,0.603088318391701
"BIHAR","F","Rural","In Speech",0.637482215725208,0.603088318391701
"BIHAR","F","Rural","In Hearing",0.631460145369612,0.603088318391701
