"State","sex","Urban_Rural","status","Disability_Type","dis_mar_count","dis_mar_total","dis_mar_perc","mar_count","mar_total","mar_perc"
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","Any Other",18,221,0.081447963800905,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","In Seeing",133,408,0.325980392156863,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","Mental Illness",22,157,0.140127388535032,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","Multiple Disability",58,243,0.238683127572016,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","In Hearing",100,370,0.27027027027027,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","Mental Retardation",3,82,0.0365853658536585,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","Total disabled population",441,2046,0.215542521994135,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","In Movement",98,419,0.233890214797136,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Rural","Widowed","In Speech",9,146,0.0616438356164384,8197,110806,0.0739761384762558
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","Any Other",3,348,0.00862068965517241,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","In Movement",3,550,0.00545454545454545,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","In Hearing",2,555,0.0036036036036036,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","Multiple Disability",0,310,0,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","Total disabled population",12,2799,0.00428724544480171,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","In Seeing",1,486,0.00205761316872428,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","Mental Retardation",2,134,0.0149253731343284,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","Mental Illness",0,201,0,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Divorced","In Speech",1,215,0.00465116279069767,279,177710,0.00156997355241686
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","In Movement",224,550,0.407272727272727,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","Mental Illness",68,201,0.338308457711443,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","Mental Retardation",36,134,0.26865671641791,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","In Speech",78,215,0.362790697674419,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","Any Other",136,348,0.390804597701149,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","Total disabled population",1093,2799,0.39049660593069,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","Multiple Disability",63,310,0.203225806451613,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","In Hearing",269,555,0.484684684684685,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","Married","In Seeing",219,486,0.450617283950617,92394,177710,0.519914467390693
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","Mental Illness",96,201,0.477611940298507,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","In Hearing",159,555,0.286486486486487,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","Total disabled population",1141,2799,0.407645587709896,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","In Speech",119,215,0.553488372093023,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","Mental Retardation",87,134,0.649253731343284,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","In Movement",198,550,0.36,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","Any Other",181,348,0.520114942528736,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","Multiple Disability",181,310,0.583870967741935,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","NeverMarried","In Seeing",120,486,0.246913580246914,71595,177710,0.402875471273423
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","Mental Retardation",2,134,0.0149253731343284,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","Total disabled population",32,2799,0.0114326545194712,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","Mental Illness",7,201,0.0348258706467662,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","In Movement",6,550,0.0109090909090909,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","In Speech",2,215,0.00930232558139535,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","Multiple Disability",3,310,0.00967741935483871,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","Any Other",5,348,0.014367816091954,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","In Hearing",4,555,0.00720720720720721,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Seperated","In Seeing",3,486,0.00617283950617284,917,177710,0.00516009228518373
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","In Seeing",143,486,0.294238683127572,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","Total disabled population",521,2799,0.186137906395141,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","Multiple Disability",63,310,0.203225806451613,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","Mental Illness",30,201,0.149253731343284,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","In Hearing",121,555,0.218018018018018,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","In Speech",15,215,0.0697674418604651,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","Mental Retardation",7,134,0.0522388059701493,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","Any Other",23,348,0.0660919540229885,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Total","Widowed","In Movement",119,550,0.216363636363636,12525,177710,0.0704799954982837
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","In Seeing",0,78,0,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","In Movement",0,131,0,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","Multiple Disability",0,67,0,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","Total disabled population",2,753,0.00265604249667995,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","Mental Illness",0,44,0,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","In Hearing",1,185,0.00540540540540541,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","In Speech",0,69,0,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","Mental Retardation",1,52,0.0192307692307692,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Divorced","Any Other",0,127,0,114,66904,0.00170393399497788
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","Any Other",53,127,0.417322834645669,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","Total disabled population",279,753,0.370517928286853,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","In Hearing",88,185,0.475675675675676,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","In Speech",28,69,0.405797101449275,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","In Seeing",29,78,0.371794871794872,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","Multiple Disability",5,67,0.0746268656716418,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","Mental Retardation",15,52,0.288461538461538,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","Mental Illness",12,44,0.272727272727273,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Married","In Movement",49,131,0.374045801526718,35591,66904,0.53197118258998
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","In Movement",59,131,0.450381679389313,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","Multiple Disability",57,67,0.850746268656716,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","Any Other",69,127,0.543307086614173,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","In Hearing",74,185,0.4,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","Mental Illness",24,44,0.545454545454545,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","In Speech",35,69,0.507246376811594,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","In Seeing",39,78,0.5,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","Total disabled population",387,753,0.51394422310757,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","NeverMarried","Mental Retardation",30,52,0.576923076923077,26583,66904,0.397330503407868
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","In Seeing",0,78,0,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","In Hearing",1,185,0.00540540540540541,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","Mental Illness",0,44,0,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","Multiple Disability",0,67,0,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","Any Other",0,127,0,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","In Speech",0,69,0,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","Total disabled population",5,753,0.00664010624169987,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","In Movement",2,131,0.0152671755725191,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Seperated","Mental Retardation",2,52,0.0384615384615385,288,66904,0.00430467535573359
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","Mental Retardation",4,52,0.0769230769230769,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","In Seeing",10,78,0.128205128205128,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","Multiple Disability",5,67,0.0746268656716418,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","In Movement",21,131,0.16030534351145,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","In Hearing",21,185,0.113513513513514,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","Any Other",5,127,0.0393700787401575,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","Total disabled population",80,753,0.106241699867198,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","Mental Illness",8,44,0.181818181818182,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","F","Urban","Widowed","In Speech",6,69,0.0869565217391304,4328,66904,0.0646897046514409
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","In Speech",0,216,0,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","Multiple Disability",0,329,0,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","Mental Illness",0,107,0,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","In Movement",0,776,0,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","Any Other",2,324,0.00617283950617284,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","Mental Retardation",0,107,0,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","In Hearing",1,464,0.0021551724137931,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","In Seeing",0,511,0,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Divorced","Total disabled population",3,2834,0.00105857445306987,85,126287,0.00067307007055358
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","Total disabled population",1479,2834,0.521877205363444,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","Any Other",143,324,0.441358024691358,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","In Movement",463,776,0.596649484536082,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","In Seeing",330,511,0.645792563600783,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","Multiple Disability",141,329,0.428571428571429,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","In Speech",70,216,0.324074074074074,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","Mental Illness",23,107,0.214953271028037,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","Mental Retardation",18,107,0.168224299065421,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Married","In Hearing",291,464,0.627155172413793,61918,126287,0.490295913276901
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","Any Other",170,324,0.524691358024691,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","Mental Illness",77,107,0.719626168224299,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","In Movement",261,776,0.336340206185567,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","In Seeing",127,511,0.24853228962818,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","In Hearing",127,464,0.273706896551724,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","Multiple Disability",147,329,0.446808510638298,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","Total disabled population",1135,2834,0.400494001411433,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","Mental Retardation",85,107,0.794392523364486,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","NeverMarried","In Speech",141,216,0.652777777777778,61403,126287,0.486217900496488
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","Any Other",0,324,0,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","In Movement",6,776,0.0077319587628866,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","Total disabled population",29,2834,0.0102328863796754,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","In Seeing",5,511,0.00978473581213307,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","Multiple Disability",5,329,0.0151975683890578,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","Mental Retardation",2,107,0.0186915887850467,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","In Hearing",6,464,0.0129310344827586,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","In Speech",2,216,0.00925925925925926,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Seperated","Mental Illness",3,107,0.0280373831775701,554,126287,0.00438683316572569
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","In Seeing",49,511,0.0958904109589041,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","Mental Retardation",2,107,0.0186915887850467,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","Multiple Disability",36,329,0.109422492401216,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","Mental Illness",4,107,0.0373831775700935,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","Any Other",9,324,0.0277777777777778,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","In Speech",3,216,0.0138888888888889,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","In Hearing",39,464,0.084051724137931,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","In Movement",46,776,0.0592783505154639,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Rural","Widowed","Total disabled population",188,2834,0.0663373323923783,2327,126287,0.0184262829903315
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","Any Other",2,490,0.00408163265306122,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","In Seeing",0,598,0,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","Multiple Disability",1,427,0.00234192037470726,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","In Movement",0,1043,0,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","In Hearing",1,664,0.00150602409638554,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","Total disabled population",4,3861,0.00103600103600104,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","In Speech",0,316,0,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","Mental Illness",0,163,0,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Divorced","Mental Retardation",0,160,0,134,202871,0.000660518260372355
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","Total disabled population",1987,3861,0.514633514633515,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","In Speech",110,316,0.348101265822785,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","In Hearing",416,664,0.626506024096386,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","In Seeing",378,598,0.632107023411371,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","Multiple Disability",161,427,0.377049180327869,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","Any Other",226,490,0.461224489795918,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","In Movement",625,1043,0.599232981783317,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","Mental Retardation",25,160,0.15625,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","Married","Mental Illness",46,163,0.282208588957055,100341,202871,0.494604946000168
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","Mental Illness",109,163,0.668711656441718,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","Total disabled population",1628,3861,0.421652421652422,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","In Hearing",199,664,0.299698795180723,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","In Speech",199,316,0.629746835443038,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","Multiple Disability",223,427,0.522248243559719,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","In Seeing",163,598,0.27257525083612,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","Any Other",249,490,0.508163265306122,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","In Movement",355,1043,0.340364333652924,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","NeverMarried","Mental Retardation",131,160,0.81875,98582,202871,0.485934411522593
"ANDAMAN & NICOBAR ISLANDS","M","Total","Seperated","Mental Illness",3,163,0.0184049079754601,778,202871,0.0038349493027589
"ANDAMAN & NICOBAR ISLANDS","M","Total","Seperated","Any Other",0,490,0,778,202871,0.0038349493027589
"ANDAMAN & NICOBAR ISLANDS","M","Total","Seperated","In Speech",2,316,0.00632911392405063,778,202871,0.0038349493027589
"ANDAMAN & NICOBAR ISLANDS","M","Total","Seperated","Total disabled population",31,3861,0.00802900802900803,778,202871,0.0038349493027589
"ANDAMAN & NICOBAR ISLANDS","M","Total","Seperated","In Seeing",6,598,0.0100334448160535,778,202871,0.0038349493027589
"ANDAMAN & NICOBAR ISLANDS","M","Total","Seperated","Multiple Disability",5,427,0.0117096018735363,778,202871,0.0038349493027589
"ANDAMAN & NICOBAR ISLANDS","M","Total","Seperated","In Movement",7,1043,0.00671140939597315,778,202871,0.0038349493027589
